year,state,property_damage
2021,Tennessee,250.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Tennessee,25.00K
2021,Illinois,1.00K
2021,Kentucky,40.00K
2021,Kentucky,15.00K
2021,Tennessee,353.00K
2021,Alabama,3.20M
2021,Kentucky,20.00K
2021,Kentucky,15.00K
2021,Kentucky,30.00K
2021,Kentucky,25.00K
2021,Kentucky,20.00K
2021,Tennessee,1.20M
2021,Kentucky,15.00K
2021,Kentucky,15.00K
2021,Tennessee,1.73M
2021,Kentucky,15.00K
2021,Kentucky,20.00K
2021,Kentucky,10.00K
2021,Mississippi,15.00K
2021,Kentucky,40.00K
2021,Kentucky,50.00K
2021,Kentucky,15.00K
2021,Kentucky,15.00K
2021,Louisiana,40.00K
2021,Arizona,1.00K
2021,Arizona,10.00K
2021,Virginia,15.00K
2021,Kentucky,20.00K
2021,Kentucky,10.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Illinois,1.00K
2021,Missouri,250.00K
2021,Washington,1000.00K
2021,Washington,100.00K
2021,Missouri,10.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Missouri,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Missouri,1.00K
2021,Missouri,1.00K
2021,Missouri,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Illinois,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,New York,5.00K
2021,New York,5.00K
2021,New York,5.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Kentucky,1.00K
2021,Texas,30.00K
2021,Texas,50.00K
2021,Wisconsin,10.00K
2021,Ohio,4.00K
2021,Ohio,0.60K
2021,Virginia,1.00K
2021,Virginia,2.00K
2021,Virginia,3.00K
2021,Ohio,1.00K
2021,Alabama,3.35M
2021,Colorado,530.50K
2021,Virginia,10.00K
2021,Virginia,3.00K
